Source,Target,Type,Id,Label,timeset,Weight
future,terrorists,Undirected,246,1,,1
future,liberation,Undirected,247,1,,1
future,singularity,Undirected,248,10,,10
future,guerilla,Undirected,249,1,,1
future,guerrilla,Undirected,250,1,,1
future,autonomous,Undirected,251,1,,1
future,counterterrorism,Undirected,252,1,,1
future,isotope,Undirected,253,1,,1
endoftheworld,singularity,Undirected,254,1,,1
angel,singularity,Undirected,255,1,,1
futurism,singularity,Undirected,256,6,,6
futurist,singularity,Undirected,257,2,,2
energy,singularity,Undirected,258,1,,1
energy,isotope,Undirected,259,1,,1
stupid,terrorist,Undirected,260,1,,1
stupid,guerilla,Undirected,261,1,,1
posthuman,singularity,Undirected,262,1,,1
ussr,autonomous,Undirected,263,1,,1
nuclear,isotope,Undirected,264,2,,2
engineering,autonomous,Undirected,265,1,,1
death,singularity,Undirected,266,1,,1
power,singularity,Undirected,267,1,,1
subversive,terrorist,Undirected,268,1,,1
subversive,guerilla,Undirected,269,1,,1
megastructure,singularity,Undirected,270,1,,1
english,autonomous,Undirected,271,1,,1
game,singularity,Undirected,272,1,,1
1960s,terrorist,Undirected,273,1,,1
humanity,singularity,Undirected,274,1,,1
anonymous,terrorist,Undirected,275,1,,1
anonymous,terrorists,Undirected,276,1,,1
anonymous,liberation,Undirected,277,1,,1
anonymous,singularity,Undirected,278,1,,1
anonymous,guerilla,Undirected,279,1,,1
anonymous,guerrilla,Undirected,280,1,,1
anonymous,autonomous,Undirected,281,1,,1
anonymous,counterterrorism,Undirected,282,1,,1
anonymous,isotope,Undirected,283,1,,1
1973,terrorist,Undirected,284,1,,1
1973,guerilla,Undirected,285,1,,1
sc,singularity,Undirected,286,1,,1
nyc,terrorist,Undirected,287,1,,1
games,autonomous,Undirected,288,1,,1
obama,terrorist,Undirected,289,1,,1
gametheory,autonomous,Undirected,290,1,,1
anti,guerilla,Undirected,291,1,,1
anti,guerrilla,Undirected,292,1,,1
environment,terrorist,Undirected,293,1,,1
environment,terrorists,Undirected,294,1,,1
environment,liberation,Undirected,295,1,,1
environment,singularity,Undirected,296,1,,1
environment,guerilla,Undirected,297,2,,2
environment,guerrilla,Undirected,298,2,,2
environment,autonomous,Undirected,299,1,,1
environment,counterterrorism,Undirected,300,1,,1
environment,isotope,Undirected,301,2,,2
garden,guerilla,Undirected,302,1,,1
garden,guerrilla,Undirected,303,1,,1
gardening,guerilla,Undirected,304,1,,1
gardening,guerrilla,Undirected,305,1,,1
surf,autonomous,Undirected,306,1,,1
definition,singularity,Undirected,307,1,,1
sci-fi,singularity,Undirected,308,1,,1
science,singularity,Undirected,309,7,,7
science,autonomous,Undirected,310,1,,1
science,isotope,Undirected,311,1,,1
vernor_vinge,singularity,Undirected,312,1,,1
2012,singularity,Undirected,313,1,,1
metaphysics,singularity,Undirected,314,1,,1
scifi,singularity,Undirected,315,6,,6
geek,singularity,Undirected,316,1,,1
privacy,counterterrorism,Undirected,317,1,,1
deltagreen,counterterrorism,Undirected,318,1,,1
ia,singularity,Undirected,319,1,,1
book,singularity,Undirected,320,5,,5
via%3asiggibecker.de,singularity,Undirected,321,1,,1
20thcentury,autonomous,Undirected,322,1,,1
cointelpro,counterterrorism,Undirected,323,1,,1
apocalypse,singularity,Undirected,324,1,,1
books,singularity,Undirected,325,4,,4
icekarma,isotope,Undirected,326,1,,1
books.scifi,singularity,Undirected,327,1,,1
kurzweil,singularity,Undirected,328,2,,2
depressing,counterterrorism,Undirected,329,1,,1
collapse,singularity,Undirected,330,1,,1
eschatology,singularity,Undirected,331,2,,2
genetics,singularity,Undirected,332,1,,1
2p,singularity,Undirected,333,1,,1
2read,singularity,Undirected,334,1,,1
sysadmin,autonomous,Undirected,335,1,,1
omega,singularity,Undirected,336,1,,1
omega_point,singularity,Undirected,337,1,,1
ideas,singularity,Undirected,338,1,,1
ideas,guerilla,Undirected,339,1,,1
ideas,guerrilla,Undirected,340,1,,1
omegapoint,singularity,Undirected,341,1,,1
system,autonomous,Undirected,342,1,,1
vinge,singularity,Undirected,343,1,,1
identity,singularity,Undirected,344,1,,1
violent,terrorist,Undirected,345,1,,1
violent,guerilla,Undirected,346,1,,1
laden,terrorist,Undirected,347,1,,1
virtual,singularity,Undirected,348,1,,1
middle_east,terrorist,Undirected,349,1,,1
essay,singularity,Undirected,350,1,,1
geography,autonomous,Undirected,351,1,,1
middleeast,liberation,Undirected,352,1,,1
virtual_reality,singularity,Undirected,353,1,,1
mideast,liberation,Undirected,354,1,,1
lame,singularity,Undirected,355,1,,1
virtualreality,singularity,Undirected,356,1,,1
virtualworlds,singularity,Undirected,357,1,,1
vision,autonomous,Undirected,358,1,,1
comics,singularity,Undirected,359,1,,1
mind,singularity,Undirected,360,1,,1
ethics,singularity,Undirected,361,1,,1
brain,singularity,Undirected,362,3,,3
archive,singularity,Undirected,363,1,,1
vocabulary,isotope,Undirected,364,1,,1
branding,guerilla,Undirected,365,1,,1
misc,terrorist,Undirected,366,2,,2
misc,terrorists,Undirected,367,1,,1
misc,liberation,Undirected,368,1,,1
misc,singularity,Undirected,369,1,,1
misc,guerilla,Undirected,370,1,,1
misc,guerrilla,Undirected,371,1,,1
misc,autonomous,Undirected,372,1,,1
misc,counterterrorism,Undirected,373,1,,1
misc,isotope,Undirected,374,1,,1
iml104net,singularity,Undirected,375,1,,1
immortality,singularity,Undirected,376,1,,1
events,terrorist,Undirected,377,1,,1
events,terrorists,Undirected,378,1,,1
50s,counterterrorism,Undirected,379,1,,1
import,singularity,Undirected,380,1,,1
evolution,singularity,Undirected,381,3,,3
gl,singularity,Undirected,382,1,,1
5gw,counterterrorism,Undirected,383,1,,1
art,singularity,Undirected,384,2,,2
art-bell,singularity,Undirected,385,1,,1
organisations,terrorist,Undirected,386,1,,1
organisations,guerilla,Undirected,387,1,,1
organization,liberation,Undirected,388,1,,1
learning,singularity,Undirected,389,1,,1
example,terrorist,Undirected,390,1,,1
example,terrorists,Undirected,391,1,,1
complexity,singularity,Undirected,392,1,,1
mm,singularity,Undirected,393,1,,1
war,terrorist,Undirected,394,1,,1
tech,singularity,Undirected,395,1,,1
70's,terrorist,Undirected,396,1,,1
70's,guerilla,Undirected,397,1,,1
psychology,singularity,Undirected,398,2,,2
waste,isotope,Undirected,399,1,,1
osama,terrorist,Undirected,400,1,,1
technology,terrorist,Undirected,401,1,,1
technology,terrorists,Undirected,402,1,,1
technology,liberation,Undirected,403,1,,1
technology,singularity,Undirected,404,8,,8
technology,guerilla,Undirected,405,1,,1
technology,guerrilla,Undirected,406,1,,1
